geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN10075.c0.g1.i1 320 338 232 360 326 722
Dgal_TRINITY.DN10076.c0.g1.i1 3908 4712 4118 4222 3994 4964
Dgal_TRINITY.DN10077.c0.g1.i1 3966 5028 4498 4514 4258 5048
Dgal_TRINITY.DN10077.c1.g1.i2 5246 5794 4868 5424 5434 6018
Dgal_TRINITY.DN10078.c0.g1.i1 6396 6142 5958 6510 6818 8308
Dgal_TRINITY.DN10079.c0.g1.i1 36 46 54 38 38 62
Dgal_TRINITY.DN10079.c0.g1.i2 2 0 2 4 6 2
Dgal_TRINITY.DN1007.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN1007.c0.g1.i2 20 36 50 36 40 46
Dgal_TRINITY.DN10080.c0.g1.i1 1682 1586 1474 1486 1686 2326
Dgal_TRINITY.DN10081.c0.g1.i1 0 24 24 298 16 30
Dgal_TRINITY.DN10082.c0.g1.i1 2568 2652 2628 2722 2994 3534
Dgal_TRINITY.DN10083.c0.g1.i1 4 8 4 14 2 14
Dgal_TRINITY.DN10084.c1.g1.i1 12 22 36 14 28 16
Dgal_TRINITY.DN10084.c2.g1.i1 16 34 26 24 48 28
Dgal_TRINITY.DN10085.c0.g1.i1 152 196 176 166 166 190
Dgal_TRINITY.DN10086.c0.g1.i1 4114 3510 3558 4354 3732 4696
Dgal_TRINITY.DN10087.c0.g1.i2 70 88 82 82 90 78
Dgal_TRINITY.DN10087.c0.g1.i3 24 22 22 34 28 44
Dgal_TRINITY.DN10088.c0.g1.i1 188 176 182 186 212 288
Dgal_TRINITY.DN10089.c0.g1.i2 2126 2108 2236 2408 2568 2852
Dgal_TRINITY.DN1008.c0.g1.i1 22 34 20 52 26 62
Dgal_TRINITY.DN10090.c0.g1.i1 6872 7188 6958 6872 7608 8698
Dgal_TRINITY.DN10091.c0.g1.i1 24 26 14 24 22 18
Dgal_TRINITY.DN10092.c0.g1.i4 2 6 0 4 8 12
Dgal_TRINITY.DN10092.c0.g1.i5 6 0 4 12 6 12
Dgal_TRINITY.DN10092.c0.g1.i6 0 6 2 0 0 4
Dgal_TRINITY.DN10093.c0.g1.i2 4 0 6 6 10 8
Dgal_TRINITY.DN10093.c1.g1.i1 6 8 16 26 16 24
Dgal_TRINITY.DN10093.c1.g2.i1 32 54 34 64 46 44
Dgal_TRINITY.DN10093.c1.g3.i1 6 6 10 4 16 26
Dgal_TRINITY.DN10094.c0.g1.i1 10 6 14 12 8 10
Dgal_TRINITY.DN10095.c0.g1.i1 78 72 58 68 76 54
Dgal_TRINITY.DN10095.c1.g1.i1 2550 3584 3146 2696 2846 2726
Dgal_TRINITY.DN10095.c2.g1.i1 2 6 4 2 2 2
Dgal_TRINITY.DN10096.c0.g1.i1 45640 44038 42510 44220 46228 54086
Dgal_TRINITY.DN10097.c0.g1.i1 276 384 346 326 342 296
Dgal_TRINITY.DN10098.c0.g1.i1 996 1122 1012 1068 1010 1326
Dgal_TRINITY.DN10099.c0.g2.i11 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i12 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i14 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i2 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i3 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i4 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i5 14 0 6 6 6 6
Dgal_TRINITY.DN10099.c0.g2.i6 0 0 0 0 0 0
Dgal_TRINITY.DN10099.c0.g2.i7 0 0 0 0 0 0
Dgal_TRINITY.DN1009.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN1009.c0.g2.i1 2 0 2 2 0 4
Dgal_TRINITY.DN1009.c0.g3.i1 0 0 2 2 2 0
Dgal_TRINITY.DN100.c0.g1.i1 16 12 2 14 12 6
Dgal_TRINITY.DN10100.c0.g1.i2 24550 29638 25022 24922 20708 25940
Dgal_TRINITY.DN10101.c0.g1.i1 2656 2626 2692 2608 2972 3376
Dgal_TRINITY.DN10102.c0.g1.i1 748 794 742 734 818 1024
Dgal_TRINITY.DN10103.c0.g1.i1 6 2 4 2 4 6
Dgal_TRINITY.DN10103.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10103.c0.g2.i2 0 0 0 0 0 0
Dgal_TRINITY.DN10103.c0.g3.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10104.c0.g1.i1 10116 8914 9730 9426 10184 12322
Dgal_TRINITY.DN10105.c0.g1.i1 1138 978 1072 1104 1228 1428
Dgal_TRINITY.DN10105.c0.g2.i1 528 510 522 546 572 666
Dgal_TRINITY.DN10106.c0.g1.i1 1764 1684 1538 1918 1800 2156
Dgal_TRINITY.DN10107.c0.g1.i2 2234 2280 2346 2288 2492 3244
Dgal_TRINITY.DN10108.c0.g1.i1 820 1214 1002 924 810 850
Dgal_TRINITY.DN10109.c0.g1.i1 13092 6924 16390 8312 7940 20182
Dgal_TRINITY.DN1010.c0.g1.i1 10 0 6 6 8 14
Dgal_TRINITY.DN10110.c0.g1.i1 6416 5542 6340 6692 7516 9060
Dgal_TRINITY.DN10111.c0.g1.i1 696 694 766 846 794 974
Dgal_TRINITY.DN10112.c0.g1.i1 994 924 926 1036 1006 1368
Dgal_TRINITY.DN10113.c0.g1.i1 1284 4270 2526 2696 6358 3396
Dgal_TRINITY.DN10114.c0.g1.i1 576 818 658 770 654 776
Dgal_TRINITY.DN10115.c0.g2.i2 106 166 120 106 100 80
Dgal_TRINITY.DN10116.c0.g1.i1 282 390 334 346 366 340
Dgal_TRINITY.DN10116.c1.g1.i1 102 138 120 88 98 100
Dgal_TRINITY.DN10117.c0.g1.i1 234 1308 1078 1212 734 1452
Dgal_TRINITY.DN10118.c0.g1.i1 74 516 388 504 264 532
Dgal_TRINITY.DN10119.c0.g1.i1 1990 2116 2158 2196 2322 2600
Dgal_TRINITY.DN1011.c0.g1.i1 20 10 8 18 2 34
Dgal_TRINITY.DN10120.c0.g1.i1 2358 2250 2568 2424 2562 3052
Dgal_TRINITY.DN10121.c0.g1.i1 262 166 182 150 170 352
Dgal_TRINITY.DN10121.c0.g1.i2 70 28 64 46 40 80
Dgal_TRINITY.DN10122.c0.g1.i1 1000 822 938 968 1058 1184
Dgal_TRINITY.DN10123.c0.g1.i1 14 54 68 154 56 46
Dgal_TRINITY.DN10124.c0.g2.i1 12 20 18 10 22 14
Dgal_TRINITY.DN10124.c0.g2.i2 6 12 6 12 4 10
Dgal_TRINITY.DN10125.c0.g1.i1 3704 3096 3412 3518 3924 4570
Dgal_TRINITY.DN10126.c0.g2.i1 120 94 120 132 162 170
Dgal_TRINITY.DN10127.c0.g2.i3 18 10 8 10 10 4
Dgal_TRINITY.DN10127.c0.g2.i4 2 2 0 0 0 2
Dgal_TRINITY.DN10128.c0.g1.i1 4182 4540 4524 4320 4284 5384
Dgal_TRINITY.DN10128.c1.g1.i1 1698 1856 1666 1504 1714 2020
Dgal_TRINITY.DN10129.c0.g1.i1 88 88 56 58 42 72
Dgal_TRINITY.DN1012.c0.g1.i1 20 6 10 6 14 14
Dgal_TRINITY.DN10130.c0.g1.i1 32 56 72 72 88 72
Dgal_TRINITY.DN10130.c0.g1.i2 54 58 60 54 26 82
